Indexer,BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,col1-score,col2-score,col3-score,col4-score,col5-score,col6-score,col7-score,col8-score,col9-score,col10-score
66,CV7AL0012,2:00 AM,ST,Boston,2110,90.3,522.3,"$2,369.58",2011N-00063,UO12,0.0295929592959,0.0045261669024,0.0321782178218,0.0221947194719,0.0262376237624,0.0367161716172,0.0291371994342,0.0250825082508,0.0148514851485,0.0173267326733
67,CV7AL0013,2:00 AM,ST,Boston,2110,131.6,611.4,"$80,215.83",2013N-00061,UO87,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.0262376237624,0.0468646864686,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
68,CV7AL0014,2:00 AM,ST,BRIGHTON,2116,71.4,595.4,"$100,738.41",2014N-00081,UO82,0.0311331133113,0.0045261669024,0.0321782178218,0.0923886138614,0.0118811881188,0.0367161716172,0.0223479490806,0.015301530153,0.0148514851485,0.0173267326733
69,CV7AL0015,2:00 AM,ST,Boston,2119,,550.4,"$76,665.44",2011N-00009,UO50,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.0123762376238,0.213146314631,0.0220650636492,0.0186138613861,0.0148514851485,0.0173267326733
70,CV7AL0016,2:00 AM,ST,Boston,2111,,,"$21,152.58",2013N-00023,UO31,0.0311331133113,0.0045261669024,0.0321782178218,0.0221947194719,0.0123762376238,0.213146314631,0.199434229137,0.0186138613861,0.0148514851485,0.0173267326733
71,CV7AL0017,1:00 AM,AV,Boston,2118,115.2,2461,"$107,990.94",2014N-00013,UO79,0.0311331133113,0.004243281471,0.0618811881188,0.0221947194719,0.0123762376238,0.0379537953795,0.0548090523338,0.015301530153,0.0148514851485,0.0173267326733
72,CV7AL0018,2:00 AM,PL,Boston,2109,60.7,76.3,"$102,917.53",2014N-00173,UO56,0.0311331133113,0.0045261669024,0.0611739745403,0.0221947194719,0.0158415841584,0.0367161716172,0.0463224893918,0.015301530153,0.0148514851485,0.0173267326733
73,CV7AL0020,2:00 AM,ST,Boston,2210,55.5,301.8,"$13,112.65",2011N-00064,UO28,0.0295929592959,0.0045261669024,0.0321782178218,0.0221947194719,0.0435643564356,0.0367161716172,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
74,CV7AL0021,2:00 AM,AV,Boston,2110,159.4,1480.8,"$94,092.54",2013N-00001,UO2,0.0295929592959,0.0045261669024,0.0618811881188,0.0221947194719,0.0262376237624,0.0379537953795,0.0275813295615,0.0186138613861,0.0148514851485,0.1100110011
75,CV7AL0022,1:00 AM,ST,East Boston,2110,58.9,375.5,"$44,132.78",2014N-00004,UO38,0.0295929592959,0.004243281471,0.0321782178218,0.0599909990999,0.0262376237624,0.0367161716172,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
