{   'action_dim': 6,
#Games: 1287 #Frames: 1287000  Train_Max: 9208.97  Test_Score: 8993.79  Avg: 8802.40  ENV:  HalfCheetah-v2  DDPG Reward: 9254.21  PG Loss: -897.6226

#Games: 1298 #Frames: 1298000  Train_Max: 9083.25  Test_Score: 9073.95  Avg: 8822.09  ENV:  HalfCheetah-v2  DDPG Reward: 9460.64  PG Loss: -900.6783

#Games: 1309 #Frames: 1309000  Train_Max: 9092.52  Test_Score: 9024.85  Avg: 9041.67  ENV:  HalfCheetah-v2  DDPG Reward: 9511.77  PG Loss: -903.7568

Sync from RL --> Nevo
#Games: 1320 #Frames: 1320000  Train_Max: 9061.34  Test_Score: 8840.04  Avg: 9062.39  ENV:  HalfCheetah-v2  DDPG Reward: 9570.88  PG Loss: -906.7383

#Games: 1331 #Frames: 1331000  Train_Max: 9694.28  Test_Score: 9564.76  Avg: 9066.25  ENV:  HalfCheetah-v2  DDPG Reward: 9486.16  PG Loss: -910.1353

#Games: 1342 #Frames: 1342000  Train_Max: 9756.13  Test_Score: 9567.56  Avg: 9119.01  ENV:  HalfCheetah-v2  DDPG Reward: 9564.78  PG Loss: -912.5389

#Games: 1353 #Frames: 1353000  Train_Max: 9671.99  Test_Score: 9539.20  Avg: 9171.05  ENV:  HalfCheetah-v2  DDPG Reward: 9556.74  PG Loss: -915.8482

#Games: 1364 #Frames: 1364000  Train_Max: 9511.64  Test_Score: 9622.43  Avg: 9209.54  ENV:  HalfCheetah-v2  DDPG Reward: 9469.96  PG Loss: -918.8371

#Games: 1375 #Frames: 1375000  Train_Max: 9532.68  Test_Score: 9585.06  Avg: 9254.24  ENV:  HalfCheetah-v2  DDPG Reward: 9617.45  PG Loss: -922.1436

#Games: 1386 #Frames: 1386000  Train_Max: 9621.32  Test_Score: 9539.87  Avg: 9292.23  ENV:  HalfCheetah-v2  DDPG Reward: 9548.18  PG Loss: -925.4216

#Games: 1397 #Frames: 1397000  Train_Max: 9588.24  Test_Score: 9556.78  Avg: 9335.15  ENV:  HalfCheetah-v2  DDPG Reward: 9569.57  PG Loss: -928.5195

#Games: 1408 #Frames: 1408000  Train_Max: 9661.15  Test_Score: 9654.75  Avg: 9391.45  ENV:  HalfCheetah-v2  DDPG Reward: 9609.69  PG Loss: -932.0909

Progress Saved
#Games: 1419 #Frames: 1419000  Train_Max: 9659.02  Test_Score: 9626.27  Avg: 9449.53  ENV:  HalfCheetah-v2  DDPG Reward: 9708.37  PG Loss: -935.2951

Sync from RL --> Nevo
#Games: 1430 #Frames: 1430000  Train_Max: 9556.03  Test_Score: 9580.16  Avg: 9509.67  ENV:  HalfCheetah-v2  DDPG Reward: 9680.21  PG Loss: -938.7620

#Games: 1441 #Frames: 1441000  Train_Max: 9713.86  Test_Score: 9680.52  Avg: 9583.68  ENV:  HalfCheetah-v2  DDPG Reward: 9570.71  PG Loss: -941.5613

#Games: 1452 #Frames: 1452000  Train_Max: 9725.85  Test_Score: 9670.58  Avg: 9595.26  ENV:  HalfCheetah-v2  DDPG Reward: 9579.72  PG Loss: -944.5933

#Games: 1463 #Frames: 1463000  Train_Max: 9638.13  Test_Score: 9597.43  Avg: 9605.56  ENV:  HalfCheetah-v2  DDPG Reward: 9755.26  PG Loss: -946.9022

